"Story","Title","Result","Date","Stability","Duration (s)"
"Register","User supplies correct data for register","SUCCESS","2019-03-24T13:46:18.68+07:00[Asia/Jakarta]","0.0","83.24"
"Register","User does NOT supply correct data for register","SUCCESS","2019-03-24T13:47:42.138+07:00[Asia/Jakarta]","0.0","0.01"
