"Story","Title","Result","Date","Stability","Duration (s)"
"Pet","User supplies correct data to add a pet","SUCCESS","2019-03-26T01:19:56.345+07:00[Asia/Jakarta]","0.0","1.89"
"Pet","User will Update an existing pet","SUCCESS","2019-03-26T01:19:58.241+07:00[Asia/Jakarta]","0.0","1.69"
"Pet","User will find pet by valid ID","SUCCESS","2019-03-26T01:19:59.929+07:00[Asia/Jakarta]","0.0","1.63"
"Pet","User Deletes a pet by valid id","SUCCESS","2019-03-26T01:20:01.565+07:00[Asia/Jakarta]","0.0","1.52"
